Account Name,Account Number,Account Type,National Account,Brand,Branch,Main Phone,Account Executive,Last Billed On,Address 1: Street 1,Address 1: Street 2,Address 1: City,Address 1: ZIP/Postal Code
Downing Home for Veterans,493552,Customer,No,ResourceMFG,"Peoria, IL",3096765541,House Account,1/6/19,403 S. Olive St,,Peoria,61605
Downtown Bloomington Association,435224,Prospect,No,ResourceMFG,"Peoria, IL",(309) 829-9599,House Account,8/26/14,106 West Monroe St, ,Bloomington,61701
DP Filters LLC,588037,Prospect,No,ResourceMFG,"Peoria, IL",(309) 676-1161,Isabel Diefenbach,,"2706 SW Washington St,",,Peoria,61602
Dr. Pepper Snapple Group,437009,Prospect,No,ResourceMFG,"Peoria, IL",(972) 673-7000,CRMADMIN Admin,,5301 Legacy Dr, ,Plano,75024
DreamMaker Bath & Kitchen,434889,Customer,No,ResourceMFG,"Peoria, IL", ,CRMADMIN Admin,11/13/12,1323 SW Adams St, ,Peoria,61602
DSI Inc,563296,Prospect,No,ResourceMFG,"Peoria, IL",(309) 965-5110,Isabel Diefenbach,,417 IL-117,,Goodfield,61742
Du Pont Pioneer Hi-Bred International,610466,Prospect,No,ResourceMFG,"Peoria, IL",(309) 962-2931,Isabel Diefenbach,,"28857 E 200 North Rd,",,Le Roy,61752
Du-Mont Co,586110,Prospect,No,ResourceMFG,"Peoria, IL",(309) 692-7240,Isabel Diefenbach,,"7800 N Pioneer Ct,",,Peoria,61615
Dune Craft,435011,Prospect,No,ResourceMFG,"Peoria, IL",2163390222,House Account,11/19/13,PO Box 808, ,Chagrin Falls,44022
Dupage Machine Products,631913,Prospect,No,ResourceMFG,"Peoria, IL",(630) 690-5400,Isabel Diefenbach,,,,Bloomington,61704
Durbin & Associates,435320,Prospect,No,ResourceMFG,"Peoria, IL",(309) 820-8730,House Account,4/24/15,805 S. Oak, ,Bloomington,61701
Durre Brothers Welding & Machine,710171,Prospect,No,ResourceMFG,"Peoria, IL",3094322512,Isabel Diefenbach,,405 S Chestnut St,,Minonk,61760
Dust Control Technology,585222,Prospect,No,ResourceMFG,"Peoria, IL",(309) 693-8600,Isabel Diefenbach,,1607 W Chanute Rd,,Peoria,61615
Dynagraphics,692124,Prospect,No,ResourceMFG,"Peoria, IL",(217) 876-9950,Isabel Diefenbach,,3220 N Woodford St,,Decatur,62526
Dynamic Controls Inc,562987,Prospect,No,ResourceMFG,"Peoria, IL",(309) 692-8810,Isabel Diefenbach,,727 Sabrina Dr,,East Peoria,61611
E & B Machines,594308,Prospect,No,ResourceMFG,"Peoria, IL",(309) 346-9216,Isabel Diefenbach,,615 Main St,,Pekin,61554
E.M Smith & Co.,588813,Prospect,No,ResourceMFG,"Peoria, IL",(309) 691-6812,Isabel Diefenbach,,826 W. Detweiller Drive,,Peoria,61615
Eagle Companies,593278,Prospect,No,ResourceMFG,"Peoria, IL",(309) 686-9054,Isabel Diefenbach,,E. 4214 Rome West Road,,Chillicothe,61523
Eagle Wing,438971,Prospect,No,ResourceMFG,"Peoria, IL",(217) 892-4322,Pam Quinlan,,400 Shellhouse Dr.,,Rantoul,61866
East Peoria Chamber of Commerce,435883,Prospect,No,ResourceMFG,"Peoria, IL", ,CRMADMIN Admin,,2200 E Washington, ,East Peoria,61611
East Peoria Tire & Vulcanizing,602959,Prospect,No,ResourceMFG,"Peoria, IL",(309) 699-3997,Isabel Diefenbach,,2801 N Main St,,East Peoria,61611
Eaton Corporation,593058,Prospect,No,ResourceMFG,"Peoria, IL",(217) 732-3131,Isabel Diefenbach,,1725 1200th Avenue,,Lincoln,62656
EC Harms Metal Fabricators,586108,Customer,No,ResourceMFG,"Peoria, IL",3093852132,Isabel Diefenbach,3/3/19,1017 N Santa Fe Ave,,Princeville,61559
Echo Engraving & Tube Stamping,600337,Prospect,No,ResourceMFG,"Peoria, IL",(309) 263-0811,Isabel Diefenbach,,"641 W David St,",,Morton,61550
Echo Valley Meats and Catering,588029,Prospect,No,ResourceMFG,"Peoria, IL",(309) 697-0083,Isabel Diefenbach,,"608 W Garfield Ave,",,Peoria,61607
Economy Builders,617163,Prospect,No,ResourceMFG,"Peoria, IL",(309) 385-2025,Isabel Diefenbach,,610 N Santa Fe Ave,,Princeville,61559
Edwards Moving & Rigging,588933,Prospect,No,ResourceMFG,"Peoria, IL",(309) 338-3837,Isabel Diefenbach,,,,Peoria,61604
EG Products,586107,Prospect,No,ResourceMFG,"Peoria, IL",(309) 692-0968,Isabel Diefenbach,,"9121 N Industrial Rd # C,",,Peoria,61615
EHS Solutions,593733,Prospect,No,ResourceMFG,"Peoria, IL",3092829121,Bryan Gibson,2/24/19,1530 W Altorfer Dr,,Peoria,61615
Electrical Controls Inc,586324,Prospect,No,ResourceMFG,"Peoria, IL",(309) 692-2500,Isabel Diefenbach,,8401 N University St,,Peoria,61615
Elite Program,435676,Prospect,No,ResourceMFG,"Peoria, IL", ,CRMADMIN Admin,,600 N.E. Waterstreet, ,Peoria,61603
ELM Enterprises LLC,434357,Customer,No,ResourceMFG,"Peoria, IL",(309) 673-7648,Marcia Cannon,6/4/12,60 STATE STREET, ,PEORIA,61602
Emerald Performance,434465,Prospect,No,ResourceMFG,"Peoria, IL",(309) 364-2311,House Account,,1550 COUNTY RD. 1450 N., ,HENRY,61537
EMS Automation & Service,723859,Customer,No,ResourceMFG,"Peoria, IL",3094197473,Isabel Diefenbach,,12800 W. Hanna St,,Hanna City,61536
Enercon Engineering,434297,Customer,No,ResourceMFG,"Peoria, IL",3096941418,Bryan Gibson,9/29/24,201 Altorfer Ln, ,East Peoria,61611
Energy Home Insulation,436408,Prospect,No,ResourceMFG,"Peoria, IL",(309) 682-9090,CRMADMIN Admin,,3880 N Main St, ,East Peoria,61611
Engineering Design & Development,681733,Prospect,No,ResourceMFG,"Peoria, IL",(309) 266-6298,Isabel Diefenbach,,1001 W. Jefferson St,,Morton,61550
Engman Taylor Company,562930,Prospect,No,ResourceMFG,"Peoria, IL",(309) 694-0292,Isabel Diefenbach,,2500 N. Main St,,East Peoria,61611
Entec Services,597815,Prospect,No,ResourceMFG,"Peoria, IL",(309) 697-2122,Isabel Diefenbach,,4300 Entec Dr,,Peoria,61607
Enviro-Safe Refrigerants Inc,583972,Prospect,No,ResourceMFG,"Peoria, IL",(309) 346-1110,Isabel Diefenbach,,400 Margaret St,,Pekin,61554
Epic,582401,Prospect,No,ResourceMFG,"Peoria, IL",(309) 691-3800,Isabel Diefenbach,,1913 W. Townline Rd,,Peoria,61615
Erickson Steel Co,637862,Customer,No,ResourceMFG,"Peoria, IL",3096208215,Bryan Gibson,6/18/23,715 S. 2nd St,,Pekin,61554
Estes Express Lines,680951,Prospect,No,ResourceMFG,"Peoria, IL",(309) 862-3311,Isabel Diefenbach,,2150 Main St,,Normal,61761
Eureka College,434911,Customer,No,ResourceMFG,"Peoria, IL",(888) 438-7352,House Account,2/12/13,300 EAST COLLEGE AVENUE, ,EUREKA,61530
EVERGREEN F.S. - YUTON,435047,Prospect,No,ResourceMFG,"Peoria, IL",(309) 454-2406,House Account,11/14/14,10903 E. 1700 NORTH ROAD, ,BLOOMINGTON,61704
Evergreen FS,592668,Prospect,No,ResourceMFG,"Peoria, IL",(309) 728-2247,Isabel Diefenbach,,111 W. Adams Street,,Towanda,61776
Evergreen FS Warehouse,728464,Prospect,No,ResourceMFG,"Peoria, IL",3096629321,Isabel Diefenbach,,1808 Morrissey Dr,,Bloomington,61704
Evonik Goldschmidt Corporation,587022,Prospect,No,ResourceMFG,"Peoria, IL",(309) 697-6220,Isabel Diefenbach,,8300 US-24,,Mapleton,61547
Exact Packaging,562306,Prospect,No,ResourceMFG,"Peoria, IL",(815) 844-5111,Isabel Diefenbach,,1000 S. Deerfield Rd,,Pontiac,61764
Excalibur Seasoning,562234,Prospect,No,ResourceMFG,"Peoria, IL",(309) 347-1221,Isabel Diefenbach,,1800 Riverway Dr,,Pekin,61554
Excalibur Seasoning,435546,Prospect,No,ResourceMFG,"Peoria, IL",(309) 347-1221,House Account,,1800 RIVERWAY DR, ,PEKIN,61554
Excel CrusherTechnology,594309,Prospect,No,ResourceMFG,"Peoria, IL",(309) 353-9235,Isabel Diefenbach,,14463 Wagonseller Road,,Pekin,61554
Excel Cycle Werkes,666871,Prospect,No,ResourceMFG,"Peoria, IL",(309) 244-7405,Isabel Diefenbach,,909 Chestnut Street,,Delavan,61734
Excel Foundry & Machine Inc,560391,Prospect,No,ResourceMFG,"Peoria, IL",(309) 347-3031,Isabel Diefenbach,,1 Excel Way,,Pekin,61555
Fabral Metal Wall & Roof Systems,597995,Prospect,No,ResourceMFG,"Peoria, IL",(800) 451-3974,Isabel Diefenbach,,17904 E 3100 North Rd,,Gridley,61744
Facet Technologies,440119,Prospect,No,ResourceMFG,"Peoria, IL",(309) 353-4727,House Account,,,,Pekin,61554
Farmer's Business Network,737234,Customer,No,ResourceMFG,"Peoria, IL",4037683737,Isabel Diefenbach,11/14/21,101 E. Mercury Dr,,Champaign,61822
Farmers Insurance - Chris Kobel,434928,Prospect,No,ResourceMFG,"Peoria, IL", ,House Account,4/2/14,2412 E Washington St, ,Bloomington,61704
Farmers Insurance - Philip Carr,435427,Customer,No,ResourceMFG,"Peoria, IL",(309) 827-9848,House Account,12/20/15,1202 E. Washington, ,Bloomington,61701
Fastenal,562684,Prospect,No,ResourceMFG,"Peoria, IL",(309) 637-1331,Isabel Diefenbach,,910 S.W Jefferson St,,Peoria,61605
FCA East Peoria,630713,Customer,No,ResourceMFG,"Peoria, IL",3098399848,CRMADMIN Admin,3/31/24,403 Carver Lane,,East Peoria,61611
FCA MFG CO - MOSSVILLE,434532,Customer,No,ResourceMFG,"Peoria, IL",(309) 792-3444,Marcia Cannon,1/30/12,PO BOX 758, ,MOLINE,61266
FCA PEORIA,434320,Customer,No,ResourceMFG,"Peoria, IL",(309) 689-8388,Marcia Cannon,10/22/12,PO BOX 758, ,MOLINE,61266
FCA PRINCEVILLE,434337,Customer,No,ResourceMFG,"Peoria, IL",(309) 385-2588,Marcia Cannon,3/25/14,610 S WALNUT STREET, ,PRINCEVILLE,61559
FCA Princeville,435500,Customer,No,ResourceMFG,"Peoria, IL",3093852588,Bryan Gibson,9/15/24,610 S. Walnut, ,Princeville,61559
Federal Companies,435724,Prospect,No,ResourceMFG,"Peoria, IL", ,House Account,,101 National Rd, ,East Peoria,61611
Federal Companies Bloomington,594097,Prospect,No,ResourceMFG,"Peoria, IL",(309) 822-4443,Isabel Diefenbach,,2021 Eagle Road,,Normal,61761
FEDERAL O'BYRNE,434354,Customer,No,ResourceMFG,"Peoria, IL",(217) 352-5123,CRMADMIN Admin,11/15/13,401 W KENYON RD, ,CHAMPAIGN,61820
FedEx,717505,Prospect,No,ResourceMFG,"Peoria, IL",3092634957,Isabel Diefenbach,,500 E. Highland,,Morton,61550
Ferrero,706818,Prospect,No,ResourceMFG,"Peoria, IL",3098291031,Isabel Diefenbach,,2501 Beich Rd,,Bloomington,61705
Fibrebond,636921,Customer,No,ResourceMFG,"Peoria, IL",3092496211,Isabel Diefenbach,8/11/19,2717 North St,,Edelstein,61526
Finkbinder Equipment,726219,Prospect,No,ResourceMFG,"Peoria, IL",3098634831,Isabel Diefenbach,,3501 N Main St,,East Peoria,61611
Firefly Energy,586768,Prospect,No,ResourceMFG,"Peoria, IL",(309) 402-0701,Isabel Diefenbach,,"6533 N Galena Rd,",,Peoria,61614
First Friday,435103,Prospect,No,ResourceMFG,"Peoria, IL",3092751324,House Account,9/26/14,226 E. Market St, ,Bloomington,61701
First Midwest Securities Inc,436653,Prospect,No,ResourceMFG,"Peoria, IL",(309) 820-7444,House Account,,207 W. Jefferson St  Suite 102, ,Bloomington,61701
FleetPride,600072,Prospect,Yes,ResourceMFG,"Peoria, IL",(217) 875-5755,Isabel Diefenbach,,4441 Reas Bridge Rd,,Decatur,62521
FleetPride,600073,Prospect,Yes,ResourceMFG,"Peoria, IL",(309) 674-1621,Isabel Diefenbach,,2616 SW Jefferson,,Peoria,61605
Flexco DBA Atlas Supply Co,640331,Prospect,No,ResourceMFG,"Peoria, IL",(309) 347-1584,Isabel Diefenbach,,2000 N 8th St,,Pekin,61554
FlexiSnake,735439,Prospect,No,ResourceMFG,"Peoria, IL",3092746223,Isabel Diefenbach,,227 Cedar St,,Chillicothe,61523
Flexitech,435381,Prospect,No,ResourceMFG,"Peoria, IL",(309) 664-7828,Pam Quinlan,,1719 E HAMILTON RD, ,BLOOMINGTON,61701
FMC,440191,Prospect,No,ResourceMFG,"Peoria, IL",(309) 695-2571,House Account,,Hwy 17 East,,Wyoming,61491
FMC Corporation,584101,Prospect,No,ResourceMFG,"Peoria, IL",(309) 695-2571,Isabel Diefenbach,,11522 700 N. Rd,,Wyoming,61491
Fondulac Banking Center,435707,Prospect,No,ResourceMFG,"Peoria, IL",(309) 698-6300,CRMADMIN Admin,,2400 E Washington St, ,East Peoria,61611
Foremost Industrial Technologies,679292,Prospect,No,ResourceMFG,"Peoria, IL",(800) 747-8423,Isabel Diefenbach,,6518 W. Plank Rd,,Peoria,61604
Franmar Chemical Inc,585943,Prospect,No,ResourceMFG,"Peoria, IL",(309) 829-5952,Isabel Diefenbach,,10282 E 1400 North Rd,,Bloomington,61705
Frito-Lay,463595,Prospect,Yes,ResourceMFG,"Peoria, IL",(309) 697-3965,House Account,,227 S. Starr Lane,,Peoria,61604
Fugate Inc,740522,Prospect,No,ResourceMFG,"Peoria, IL",3092639956,Isabel Diefenbach,,1349 W Birchwood St,,Morton,61550
G & D Integrated,435490,Prospect,No,ResourceMFG,"Peoria, IL",(309) 266-1471,House Account,,50 COMMERCE DR, ,MORTON,61550
G & D Integrated,440227,Customer,No,ResourceMFG,"Peoria, IL",(309) 284-6715,Isabel Diefenbach,,50 Commerce Drive,,Morton,61550
G & K Services,597332,Prospect,No,ResourceMFG,"Peoria, IL",(309) 698-0187,Isabel Diefenbach,,715 Sabrina Dr,,East Peoria,61611
Gabbert CT Remodeling,434844,Customer,No,ResourceMFG,"Peoria, IL",(309) 637-2110,House Account,9/23/13,1323 SW ADAMS, ,PEORIA,61602
Gander Mountain,436213,Prospect,No,ResourceMFG,"Peoria, IL",(309) 692-4110,CRMADMIN Admin,,5114 W Holiday Dr, ,Peoria,61615
Garaventa Lift USA,677899,Prospect,No,ResourceMFG,"Peoria, IL",(309) 279-5500,Isabel Diefenbach,,2500 N Main St Suite 2C,,East Peoria,61611
Gardner Denver,660087,Prospect,No,ResourceMFG,"Peoria, IL",(815) 875-3321,Isabel Diefenbach,,1301 N Euclid Ave,,Princeton,61356
Gates Corporation,586524,Prospect,No,ResourceMFG,"Peoria, IL",(309) 343-7171,Isabel Diefenbach,,"630 US-150,",,Galesburg,61401
GDS Professional Business,585922,Prospect,No,ResourceMFG,"Peoria, IL",(309) 829-3298,Isabel Diefenbach,,1103 Martin Luther King Dr Ste 2B,,Bloomington,61701
GEM Equipment and Manufacturing,695746,Customer,No,ResourceMFG,"Peoria, IL",3092023133,Isabel Diefenbach,,1503 W. Front St,,Roanoke,61561
General Fabrications,434971,Prospect,No,ResourceMFG,"Peoria, IL", ,House Account,11/22/13,600 E. Peoria St., ,Goodfield,61742
General Pump & Machinery Inc,588808,Prospect,No,ResourceMFG,"Peoria, IL",(309) 693-7444,Isabel Diefenbach,,1044 W. Olympia Dr,,Peoria,61615
Geometric Americas,664654,Prospect,No,ResourceMFG,"Peoria, IL",(309) 495-1715,Isabel Diefenbach,,412 SW Washington St,,Peoria,61602
George O Pasquel Co,604316,Prospect,No,ResourceMFG,"Peoria, IL",(309) 673-7467,Isabel Diefenbach,,1416 SW Adams St,,Peoria,61602
Gerber Collision & Glass,608069,Prospect,No,ResourceMFG,"Peoria, IL",(309) 692-5102,Isabel Diefenbach,,8018 N University St,,Peoria,61615
German Bliss Equipment,718244,Prospect,No,ResourceMFG,"Peoria, IL",3093854316,Isabel Diefenbach,,624 W Spring St,,Princeville,61559
Getz Fire Equipment,583973,Prospect,No,ResourceMFG,"Peoria, IL",(800) 553-3503,Isabel Diefenbach,,540 S. Main St,,Pekin,61554
GETZ Fire Equipment Co,494412,Prospect,No,ResourceMFG,"Peoria, IL",(309) 673-0761,House Account,,1615 SW Adams St,,Peoria,61602
Gingrich Enterprises Inc - GEI,639054,Customer,No,ResourceMFG,"Peoria, IL",3099237312,Isabel Diefenbach,2/3/19,1503 W Front St,,Roanoke,61561
GMH Metal Fabrication,610678,Prospect,No,ResourceMFG,"Peoria, IL",(309) 253-6429,Isabel Diefenbach,,136 Fleur De Lis Dr,,East Peoria,61611
GMT Corporation,725274,Prospect,No,ResourceMFG,"Peoria, IL",3194834344,Isabel Diefenbach,,2112 E. Bremer Ave.,,Waverly,50677
Gold's Gym,435141,Prospect,No,ResourceMFG,"Peoria, IL",3094514653,House Account,3/21/14,1503 E. College Ave, ,Normal,61761
Good Forest Timber Co,586773,Prospect,No,ResourceMFG,"Peoria, IL",(309) 579-3000,Isabel Diefenbach,,11705 N Old Galena Rd,,Chillicothe,61523
Goodwill,594818,Prospect,No,ResourceMFG,"Peoria, IL",(309) 682-9517,Isabel Diefenbach,,"2319 E War Memorial Dr,",,Peoria,61614
Gorayeb Seminars,434661,Customer,No,ResourceMFG,"Peoria, IL", ,House Account,4/30/13,11 Middlebury Blvd, ,Randolph,07869
Gordon Food Service,711208,Prospect,No,ResourceMFG,"Peoria, IL",3096930436,Isabel Diefenbach,,4608 N University St,,Peoria,61614
Grainger,522351,Prospect,Yes,ResourceMFG,"Peoria, IL",(309) 672-2900,House Account,,1017 SW Jefferson St,,Peoria,61605
Grainland Cooperative,666869,Prospect,No,ResourceMFG,"Peoria, IL",(309) 467-2355,Isabel Diefenbach,,927 County Hwy 3,,Eureka,61530
Graphic Express,435680,Prospect,No,ResourceMFG,"Peoria, IL",(309) 689-9000,House Account,,1621 W Candletree drive, ,Peoria,61614
Gray Interplant Systems,563306,Prospect,No,ResourceMFG,"Peoria, IL",(309) 693-8033,Isabel Diefenbach,,8801 N. University,,Peoria,61615
Graybar Electric,584976,Prospect,No,ResourceMFG,"Peoria, IL",(309) 427-2000,Isabel Diefenbach,,2424 N. Main St,,East Peoria,61611
Great Dane Trailers - Kewanee,438229,Prospect,No,ResourceMFG,"Peoria, IL",(309) 854-0407,House Account,,2006 Kentville Road,,Kewanee,61443
Great Plains Laborers' District Council,434581,Customer,No,ResourceMFG,"Peoria, IL", ,Marcia Cannon,5/23/12,4208 W. Partridge Way,Unit 2,Peoria,61615
Greenbrier Rail Service,435254,Customer,No,ResourceMFG,"Peoria, IL",3096761597,Bryan Gibson,10/4/20,15 Leland Street, ,Peoria,61602
GREENBRIER RAIL SERVICES-Castings,434303,Prospect,No,ResourceMFG,"Peoria, IL",(309) 676-1597,Marcia Cannon,12/26/14,15 LELAND ST, ,PEORIA,61602
Grimm Bros Truckline,589166,Prospect,No,ResourceMFG,"Peoria, IL",(309) 444-8900,Isabel Diefenbach,,"1090 W Jefferson St,",,Morton,61550
Grimm's Inc,436203,Prospect,No,ResourceMFG,"Peoria, IL", ,CRMADMIN Admin,,140 S Main St, ,Morton,61550
Group Tool & Die Inc,605999,Prospect,No,ResourceMFG,"Peoria, IL",(309) 454-4146,Isabel Diefenbach,,2200 W College Ave,,Normal,61761
Group Tool & Die Inc,537980,Customer,No,ResourceMFG,"Peoria, IL",3093652951,Isabel Diefenbach,5/2/21,510 S. Spencer St,,Lexington,61753
"GROUP TOOL, INC.",434347,Prospect,No,ResourceMFG,"Peoria, IL",(309) 365-2951,Marcia Cannon,9/9/14,510 South Spencer, ,LEXINGTON,61753
Growmark Inc,587625,Prospect,No,ResourceMFG,"Peoria, IL",(309) 557-6000,Isabel Diefenbach,,1701 Towanda Ave,,Bloomington,61701
GSS Machine Solutions,439856,Prospect,No,ResourceMFG,"Peoria, IL",(309) 382-3045,House Account,,1961 Edgewater Drive,,Pekin,61554
GSS Machining Solutions,562268,Prospect,No,ResourceMFG,"Peoria, IL",(309) 382-3045,Isabel Diefenbach,,1961 Edgewater Dr,,Pekin,61554
"Guidant Group/Hallmark/Metamora, IL",560387,Prospect,Yes,ResourceMFG,"Peoria, IL",3093674103,Taralynn Uphoff,4/26/20,501 E. Madison St,,Metamora,61548
H & H Machining,598291,Customer,No,ResourceMFG,"Peoria, IL",3093657010,Isabel Diefenbach,,500 S Spencer St,,Lexington,61753
H & W Plumbing,434850,Customer,No,ResourceMFG,"Peoria, IL", ,House Account,2/19/13,14437 Decker Springs Rd, ,Charleston,61920
H&S Mechanical Inc,704632,Prospect,No,ResourceMFG,"Peoria, IL",(309) 696-7066,Isabel Diefenbach,,6100 SW Washington St,,Peoria,61607
H. Felde Tool & Machine,559936,Prospect,No,ResourceMFG,"Peoria, IL",(309) 692-5870,Isabel Diefenbach,,2324 W. Altorfer Dr,,Peoria,61615
H3 Steel,592455,Prospect,No,ResourceMFG,"Peoria, IL",(309) 673-1111,Isabel Diefenbach,,900 S.W Adams St,,Peoria,61602
Habegger Corporation,625735,Prospect,No,ResourceMFG,"Peoria, IL",(309) 691-4328,Isabel Diefenbach,,2220 W Altorfer Dr,,Peoria,61615
Habitat for Humanity,435977,Prospect,No,ResourceMFG,"Peoria, IL", ,CRMADMIN Admin,,931 N douglas St, ,Peoria,61606
Hagerty Brothers Company,607405,Prospect,No,ResourceMFG,"Peoria, IL",(309) 589-0200,Isabel Diefenbach,,1506 W Detweiller Dr,,Peoria,61615
Hagerty Steel & Aluminum,563351,Prospect,No,ResourceMFG,"Peoria, IL",(309) 699-7251,Isabel Diefenbach,,601 N. Main St,,East Peoria,61611
Hagerty Supply,588067,Prospect,No,ResourceMFG,"Peoria, IL",(309) 676-0200,Isabel Diefenbach,,933 SW Washington St.,,Peoria,61602
Hallmark House Nursing Center,722433,Prospect,No,ResourceMFG,"Peoria, IL",(309) 347-3121,Isabel Diefenbach,,2501 Allentown Rd,,Pekin,61554
"Hallmark/Fieldglass/Metamora, IL",796634,Customer,Yes,ResourceMFG,"Peoria, IL",(309) 367-4103,Bryan Gibson,11/9/25,501 East Madison Street,,Metamora,61548
HandH Mach DBA Anvil Brand,434344,Prospect,No,ResourceMFG,"Peoria, IL",(309) 365-7010,Marcia Cannon,8/2/12,PO BOX 198, ,LEXINGTON,61753
Hanley Steel Inc,583751,Prospect,No,ResourceMFG,"Peoria, IL",(309) 692-5250,Isabel Diefenbach,,8811 N. Industrial Rd,,Peoria,61615
Hanna Steel,562230,Customer,No,ResourceMFG,"Peoria, IL",3094783800,CRMADMIN Admin,1/26/25,220 Hanna Dr,,Pekin,61554
Hardin Industries,491122,Customer,No,ResourceMFG,"Peoria, IL",(309) 246-8456,Isabel Diefenbach,,400 Commercial St,,Lacon,61540
Harsco Minerals,440422,Prospect,No,ResourceMFG,"Peoria, IL",(309) 347-1962,House Account,,13090 E. Manito Road,,Pekin,61554
HCM Mechanical Services,593196,Prospect,No,ResourceMFG,"Peoria, IL",(309) 275-7893,Isabel Diefenbach,,101 East Martin Drive,,Goodfield,61742
Heart Technologies,601134,Prospect,No,ResourceMFG,"Peoria, IL",(309) 427-7000,Isabel Diefenbach,,3105 N Main St,,East Peoria,61611
Hearthside Food Solutions,435507,Prospect,No,ResourceMFG,"Peoria, IL",8158534348,Isabel Diefenbach,1/28/18,PO BOX 549,775 State Rt. 251,Wenona,61377
Hearthside Food Solutions,459214,Prospect,No,ResourceMFG,"Peoria, IL",(217) 784-4238,Pam Quinlan,4/17/16,310 W Tenth st.,,Gibson City,60936
Heartland Coca Cola,586391,Prospect,No,ResourceMFG,"Peoria, IL",(309) 697-8600,Isabel Diefenbach,,5001 S. Becker Dr,,Peoria,61607
Heat & Control Galesburg,586527,Prospect,No,ResourceMFG,"Peoria, IL",(309) 342-5518,Isabel Diefenbach,,1291 IL-41,,Galesburg,61401
Heights Finance,435787,Prospect,No,ResourceMFG,"Peoria, IL",(309) 639-6688,House Account,,7707 N. Knoxville, ,Peoria,61615
Hein Construction,582400,Prospect,No,ResourceMFG,"Peoria, IL",(309) 691-4774,Isabel Diefenbach,,9130 N. Industrial Rd,,Peoria,61615
Helena Ag,711241,Prospect,No,ResourceMFG,"Peoria, IL",8158756426,Isabel Diefenbach,,1870 W Backbone Rd,,Princeton,61356
Henson Disposal,434750,Prospect,No,ResourceMFG,"Peoria, IL",(309) 829-5021,House Account,11/5/12,705 N East St, ,Bloomington,61701
Heritage Crystal-Clean,723580,Prospect,No,ResourceMFG,"Peoria, IL",3098292300,Isabel Diefenbach,,1201 Bell St,,Bloomington,61701
Heritage Machine & Welding,586098,Prospect,No,ResourceMFG,"Peoria, IL",(309) 828-0400,Isabel Diefenbach,,1001 W Locust St,,Bloomington,61701
Heritage Packaging,586241,Prospect,No,ResourceMFG,"Peoria, IL",(217) 735-4406,Isabel Diefenbach,,2350 5th St,,Lincoln,62656
Heritage Packaging Corporation,587654,Prospect,No,ResourceMFG,"Peoria, IL",(217) 735-4406,Isabel Diefenbach,,1576 1030th Ave,,Lincoln,62656
Heyl Royster,435582,Prospect,No,ResourceMFG,"Peoria, IL",(309) 676-0400,CRMADMIN Admin,,1254 S.W. Adams,Suite 600,Peoria,61602
HGS,559929,Prospect,No,ResourceMFG,"Peoria, IL",(309) 685-5901,Isabel Diefenbach,,1901 E. War Memorial Dr,,Peoria,61615
HIGHLAND PET HOSPITAL,434359,Prospect,No,ResourceMFG,"Peoria, IL",(309) 828-7722,Marcia Cannon,,118 GREENWOOD AVE, ,BLOOMINGTON,61701
Hi-Line Supply Co,597379,Prospect,No,ResourceMFG,"Peoria, IL",(309) 685-5986,Isabel Diefenbach,,405 E Lake Ave,,Peoria,61614
Hinkley Springs,738327,Prospect,No,ResourceMFG,"Peoria, IL",3096941174,Isabel Diefenbach,,"105 Harvey Ct,",,East Peoria,61611
Hinrichsen Heating and Air Conditioning,739027,Prospect,No,ResourceMFG,"Peoria, IL",3099652604,Isabel Diefenbach,,225 North Eureka St,,Goodfield,61742
Hitchcock Scrap Yard,434810,Customer,No,ResourceMFG,"Peoria, IL",(309) 668-3217,House Account,11/9/25,22501 North State Highway 78, ,Canton,61520
HK Logistics,463208,Prospect,No,ResourceMFG,"Peoria, IL",(309) 579-3800,Isabel Diefenbach,,2800 E Cedar Hills Drive,,Chillicothe,61523
HNC Products,593062,Prospect,No,ResourceMFG,"Peoria, IL",(309) 319-2151,Isabel Diefenbach,,1619 Commerce Pkwy,"8631 Sunset Rd Clinton, IL - Production Plant",Bloomington,61704
Hobbico,459955,Prospect,No,ResourceMFG,"Peoria, IL",(217) 398-3631,Pam Quinlan,,1608 Interstate Drive,,Champaign,61822
Hobbico,436204,Prospect,No,ResourceMFG,"Peoria, IL",(217) 398-3631,Pam Quinlan,,1608 Interstae Dr, ,Champaign,61820
Hodge,586499,Prospect,No,ResourceMFG,"Peoria, IL",(309) 713-3953,Isabel Diefenbach,,"3840 N Main St,",,East Peoria,61611
Hoerr Machinery LLC,592357,Prospect,No,ResourceMFG,"Peoria, IL",(309) 691-8606,Isabel Diefenbach,,7904 State Route 91,,Peoria,61615
Hoerr Nursery,717010,Prospect,No,ResourceMFG,"Peoria, IL",3096914561,Isabel Diefenbach,,8020 N Shade Tree Dr,,Peoria,61615
Hoerr Racing Products,591232,Prospect,No,ResourceMFG,"Peoria, IL",(866) 851-7223,Isabel Diefenbach,,"9804 W Primrose Ln,",,Edwards,61528
Hoffman Burial Supplies,625743,Prospect,No,ResourceMFG,"Peoria, IL",(309) 693-1567,Isabel Diefenbach,,2315 W Altorfer Dr,,Peoria,61615
"HOI Vending, Inc.",793185,Customer,No,ResourceMFG,"Peoria, IL",(309) 696-8515,Bryan Gibson,1/5/25,220 South Starr Lane,,Peoria,61604
